,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,title,authors,n_citation,doi,url,pdf,conf,fos,year,pool,topic,labels
1334,1334,1334,1334,19048.0,A GA-based feature selection and parameters optimizationfor support vector machines,Cheng-Lung HuangChieh-Jen Wang ; ,927,10.1016/j.eswa.2005.09.024,,,Expert Systems With Applications,Structured support vector machine=0.69296 ; Data mining=0.47316 ; Feature selection=0.61427 ; Computer science=0.4442 ; Artificial intelligence=0.0 ; Genetic algorithm=0.53388 ; Kernel (linear algebra)=0.55208 ; Pattern recognition=0.47717 ; Support vector machine=0.6322 ; Relevance vector machine=0.68143 ; Linear classifier=0.66655 ; Grid=0.48573 ; Machine learning=0.47339 ; ,2006,B,ML,ml
1335,1335,1335,1335,19054.0,An artificial bee colony algorithm for the leaf-constrained minimum spanning tree problem,Alok Singh,334,10.1016/j.asoc.2008.09.001,,,Applied Soft Computing,Artificial bee colony algorithm=0.6365 ; Mathematical optimization=0.42789 ; Distributed minimum spanning tree=0.65154 ; Swarm behaviour=0.46079 ; Swarm intelligence=0.49664 ; Spanning tree=0.71573 ; Minimum weight=0.49014 ; Artificial intelligence=0.0 ; Mathematics=0.39552 ; Machine learning=0.41527 ; Metaheuristic=0.53627 ; Minimum spanning tree=0.71449 ; ,2009,B,ML,mo
1336,1336,1336,1336,19069.0,Multi-objective community detection in complex networks,Chuan ShiZhenyu Yan ; Yanan Cai ; Bin Wu ; ,103,10.1016/j.asoc.2011.10.005,,,Applied Soft Computing,Mathematical optimization=0.47022 ; Evolutionary algorithm=0.57016 ; Social network analysis=0.48143 ; Exploit=0.43517 ; Heuristics=0.55379 ; Artificial intelligence=0.0 ; Complex network=0.53869 ; Single objective=0.0 ; Optimization problem=0.54747 ; Machine learning=0.47281 ; Mathematics=0.38899 ; Modularity=0.48676 ; ,2012,B,ML,mo
1337,1337,1337,1337,19079.0,Predicting box-office success of motion pictures with neural networks,Ramesh ShardaDursun Delen ; ,175,10.1016/j.eswa.2005.07.018,,,Expert Systems With Applications,Revenue=0.44186 ; Point estimation=0.43683 ; Data mining=0.44261 ; Studio=0.40714 ; Computer science=0.44069 ; Artificial intelligence=0.44583 ; Artificial neural network=0.47928 ; Cross-validation=0.46276 ; Financial performance=0.0 ; Machine learning=0.45091 ; ,2006,B,ML,ml
1338,1338,1338,1338,19088.0,A novel ACO-GA hybrid algorithm for feature selection in protein function prediction,Shahla NematiMohammad Ehsan Basiri ; Nasser Ghasem-Aghaee ; Mehdi Hosseinzadeh Aghdam ; ,110,10.1016/j.eswa.2009.04.023,,,Expert Systems With Applications,Ant colony optimization algorithms=0.55473 ; Population=0.5158 ; Feature vector=0.55453 ; Hybrid algorithm=0.59881 ; Feature selection=0.56815 ; Pattern recognition=0.45953 ; Computer science=0.42018 ; Artificial intelligence=0.0 ; Protein function prediction=0.53392 ; Genetic algorithm=0.54851 ; Machine learning=0.45168 ; Computational complexity theory=0.53593 ; ,2009,B,ML,mo
1339,1339,1339,1339,19100.0,Encoding Words Into Interval Type-2 Fuzzy Sets Using an Interval Approach,Feilong LiuJ.M. Mendel ; ,230,10.1109/TFUZZ.2008.2005002,,,IEEE Transactions on Fuzzy Systems,Perceptual computing=0.45901 ; Measurement uncertainty=0.46021 ; Algorithm=0.43744 ; Fuzzy set=0.5242 ; Artificial intelligence=0.0 ; Encoder=0.43188 ; Membership function=0.49966 ; Machine learning=0.41864 ; Word processing=0.58136 ; Mathematics=0.40863 ; Codebook=0.46291 ; Encoding (memory)=0.43012 ; ,2008,B,ML,ml
1340,1340,1340,1340,19133.0,Optimal PMU placement for power system observability using binary particle swarm optimization and considering measurement redundancy,A. AhmadiY. Alinejad-Beromi ; M. Moradi ; ,107,10.1016/j.eswa.2010.12.025,,,Expert Systems With Applications,Electric power=0.43588 ; Units of measurement=0.50714 ; Observability=0.5407 ; System of measurement=0.5209 ; Computer science=0.41719 ; Control theory=0.45358 ; Phasor=0.51848 ; Electric power system=0.51004 ; Redundancy (engineering)=0.53752 ; Maximization=0.4598 ; ,2011,B,None,mo
1341,1341,1341,1341,19134.0,Recursive self-organizing network models,Barbara HammerAlessio Micheli ; Alessandro Sperduti ; Marc Strickert ; ,108,10.1016/j.neunet.2004.06.009,,,Neural Networks,Data structure=0.52018 ; Data visualization=0.49717 ; Computer science=0.45672 ; Recurrent neural network=0.48749 ; Context model=0.53907 ; Unsupervised learning=0.49296 ; Artificial intelligence=0.0 ; Cluster analysis=0.50967 ; Data model=0.55574 ; Recursion=0.49828 ; Machine learning=0.46414 ; ,2004,C,ML,ml
1342,1342,1342,1342,19155.0,A utility-based fuzzy TOPSIS method for energy efficient network selection in heterogeneous wireless networks,Ioannis ChamodrakasDrakoulis Martakos ; ,152,10.1016/j.asoc.2012.04.016,,,Applied Soft Computing,Wireless network=0.57978 ; Mathematical optimization=0.47006 ; Multiple-criteria decision analysis=0.53263 ; Vertical handover=0.57084 ; Efficient energy use=0.53318 ; TOPSIS=0.55688 ; Fuzzy number=0.5585 ; Energy consumption=0.58634 ; Mathematics=0.3873 ; Access network=0.53478 ; ,2012,B,None,mo
1343,1343,1343,1343,19162.0,DisABC: A new artificial bee colony algorithm for binary optimization,Mina Husseinzadeh KashanNasim Nahavandi ; Ali Husseinzadeh Kashan ; ,115,10.1016/j.asoc.2011.08.038,,,Applied Soft Computing,Continuous optimization=0.59819 ; Artificial bee colony algorithm=0.63843 ; Heuristic=0.51634 ; Mathematical optimization=0.46149 ; Meta-optimization=0.62187 ; Swarm intelligence=0.55089 ; Facility location problem=0.49175 ; Artificial intelligence=0.0 ; Machine learning=0.44772 ; Mathematics=0.39849 ; Binary number=0.50204 ; Metaheuristic=0.62924 ; ,2012,B,ML,mo
1344,1344,1344,1344,19174.0,Learning from delayed rewards,Ben J.A. Kröse,3392,10.1016/0921-8890(95)00026-C,,,Robotics and Autonomous Systems,Computer science=0.43132 ; Simulation=0.42746 ; Intelligent robots=0.0 ; Artificial intelligence=0.4523 ; Autonomous system (mathematics)=0.52311 ; Systems architecture=0.52999 ; Artificial neural network=0.53545 ; Robotics=0.56965 ; ,1995,B,AI,ml
1345,1345,1345,1345,19199.0,An improved method for forecasting enrollments based on fuzzy time series and particle swarm optimization,I-Hong KuoShi-Jinn Horng ; Tzong-Wann Kao ; Tsung-Lieh Lin ; Cheng-Ling Lee ; Yi Pan ; ,155,10.1016/j.eswa.2008.07.043,,,Expert Systems With Applications,Particle swarm optimization=0.60557 ; Simulated annealing=0.53025 ; Data mining=0.45837 ; Heuristic=0.50891 ; Mathematical optimization=0.46276 ; Evolutionary algorithm=0.57106 ; Computer science=0.44014 ; Fuzzy logic=0.56604 ; Multi-swarm optimization=0.66552 ; Artificial intelligence=0.0 ; Genetic algorithm=0.56981 ; Machine learning=0.45768 ; ,2009,B,ML,mo
1346,1346,1346,1346,19200.0,A two-stage discrete particle swarm optimization for the problem of multiple multi-level redundancy allocation in series systems,Wei-Chang Yeh,107,10.1016/j.eswa.2008.12.024,,,Expert Systems With Applications,Particle swarm optimization=0.63747 ; Mathematical optimization=0.47108 ; Computer science=0.44978 ; Algorithm=0.46797 ; Multi-swarm optimization=0.66747 ; Redundancy (engineering)=0.62186 ; Artificial intelligence=0.0 ; Genetic algorithm=0.54893 ; Machine learning=0.45195 ; Computation=0.4764 ; Binary number=0.473 ; ,2009,B,ML,mo
1347,1347,1347,1347,19215.0,Fuzzy cognitive map approach to web-mining inference amplification,Kun Chang LeeJin Sung Kim ; Nam Ho Chung ; Soon Jae Kwon ; ,109,10.1016/S0957-4174(01)00054-9,,,Expert Systems With Applications,Data mining=0.46851 ; Web mining=0.54325 ; Computer science=0.45617 ; Inference=0.68022 ; Fuzzy cognitive map=0.55945 ; Robustness (computer science)=0.46702 ; Association rule learning=0.53234 ; Inference engine=0.6283 ; Artificial intelligence=0.0 ; Knowledge base=0.54882 ; Adaptive neuro fuzzy inference system=0.63508 ; Machine learning=0.47124 ; ,2002,B,ML,ml
1348,1348,1348,1348,19221.0,Control Synthesis of Discrete-Time T–S Fuzzy Systems via a Multi-Instant Homogenous Polynomial Approach,Xiangpeng XieDong Yue ; Huaguang Zhang ; Yusheng Xue ; ,162,10.1109/TCYB.2015.2411336,,,"IEEE Transactions on Systems, Man, and Cybernetics",Mathematical optimization=0.46897 ; Defuzzification=0.63839 ; Fuzzy classification=0.63461 ; Fuzzy set operations=0.65346 ; Control theory=0.4675 ; Fuzzy measure theory=0.59991 ; Fuzzy logic=0.61762 ; Fuzzy control system=0.61591 ; Fuzzy associative matrix=0.59866 ; Fuzzy number=0.67282 ; Mathematics=0.41613 ; ,2016,B,None,mo
1349,1349,1349,1349,19232.0,Anthropomorphism and the social robot,Brian R. Duffy,518,10.1016/S0921-8890(02)00374-3,,,Robotics and Autonomous Systems,Media Lab Europe's social robots=0.8702 ; Social relation=0.57987 ; Social robot=0.68123 ; Computer science=0.42515 ; Simulation=0.39342 ; Social space=0.53067 ; Human–computer interaction=0.45656 ; Artificial intelligence=0.42868 ; Physical design=0.406 ; Robot=0.52866 ; Artificial emotions=0.0 ; ,2003,B,AI,ml
1350,1350,1350,1350,19238.0,Towards a network theory of cognition,A. R. McIntosh,370,10.1016/S0893-6080(00)00059-9,,,Neural Networks,Aggregate function=0.46265 ; Cognitive neuroscience=0.5503 ; Neurophysiology=0.43736 ; Cognitive science=0.45447 ; Artificial intelligence=0.41972 ; Network theory=0.45774 ; Artificial neural network=0.46887 ; Cognition=0.51863 ; Neurocognitive=0.51871 ; Machine learning=0.40969 ; Mathematics=0.33527 ; Spatiotemporal pattern=0.44556 ; ,2000,C,AI,ml
1351,1351,1351,1351,19251.0,Nonmyopic active learning of Gaussian processes: an exploration-exploitation approach,Andreas KrauseCarlos Guestrin ; ,117,10.1145/1273496.1273553,,,International Conference on Machine Learning,Kernel (linear algebra)=0.4849 ; Active learning=0.48356 ; Computer science=0.45181 ; A priori and a posteriori=0.49395 ; Global Positioning System=0.4867 ; Artificial intelligence=0.0 ; Gaussian process=0.5001 ; Logarithm=0.44126 ; Sample complexity=0.0 ; Sequential analysis=0.47578 ; Machine learning=0.46493 ; ,2007,A,ML,ml
1352,1352,1352,1352,19263.0,Optimal parameters selection for BP neural network based on particle swarm optimization: A case study of wind speed forecasting,Chao RenNing An ; Jianzhou Wang ; Lian Li ; Bin Hu ; Duo Shang ; ,175,10.1016/j.knosys.2013.11.015,,,Knowledge Based Systems,Particle swarm optimization=0.51702 ; Data mining=0.44501 ; Mathematical optimization=0.45131 ; Renewable energy=0.50509 ; Wind speed=0.63004 ; Computer science=0.42221 ; Simulation=0.44396 ; Power grid=0.0 ; Autoregressive integrated moving average=0.47774 ; Artificial neural network=0.48683 ; Operation scheduling=0.0 ; Wind power=0.66812 ; ,2014,B,None,mo
1353,1353,1353,1353,19283.0,Forecasting stock indices with back propagation neural network,Jian-Zhou WangJu-Jie Wang ; Zhe George Zhang ; Shu-Po Guo ; ,137,10.1016/j.eswa.2011.04.222,,,Expert Systems With Applications,Composite index=0.4969 ; Data mining=0.43802 ; Stock price=0.0 ; Noisy data=0.0 ; Computer science=0.41147 ; Stock market index=0.5947 ; Back propagation neural network=0.0 ; Backpropagation=0.50878 ; Artificial neural network=0.52331 ; Wavelet=0.46836 ; ,2011,B,None,mo
1354,1354,1354,1354,19298.0,A dynamical systems approach to task-level system integration used to plan and control autonomous vehicle motion,Gregor SchönerMichael Dose ; ,138,10.1016/0921-8890(92)90004-I,,,Robotics and Autonomous Systems,Computer science=0.4586 ; Simulation=0.44451 ; Software=0.4751 ; Dynamical systems theory=0.53873 ; Artificial intelligence=0.0 ; Autonomous system (mathematics)=0.54978 ; Autonomous system (Internet)=0.48711 ; Control system=0.48757 ; Dynamical system=0.46958 ; Robotics=0.4916 ; System integration=0.53366 ; ,1992,B,None,ml
1355,1355,1355,1355,19306.0,An on-line algorithm for creating self-organizing fuzzy neural networks,Gang LengGirijesh Prasad ; Thomas Martin McGinnity ; ,137,10.1016/j.neunet.2004.07.009,,,Neural Networks,Least squares=0.42527 ; Convergence (routing)=0.4786 ; Neuro-fuzzy=0.63009 ; Fuzzy neural=0.0 ; Self-organization=0.44915 ; Linear network=0.0 ; Algorithm=0.46549 ; Artificial intelligence=0.46763 ; Artificial neural network=0.57542 ; Recursion=0.46321 ; Machine learning=0.45951 ; Mathematics=0.39065 ; ,2004,C,AI,ml
1356,1356,1356,1356,19309.0,Generalized arc consistency for global cardinality constraint,Jean-Charles Régin,305,,,,National Conference on Artificial Intelligence,Local consistency=0.61276 ; Mathematical optimization=0.45832 ; Computer science=0.42625 ; Scheduling (computing)=0.48664 ; Cardinality=0.61363 ; Filter (signal processing)=0.46076 ; Resource allocation=0.50467 ; Time complexity=0.56657 ; ,1996,C,None,mo
1357,1357,1357,1357,19311.0,A decision support system for fuzzy multi-attribute selection of material handling equipments,Osman Kulak,150,10.1016/j.eswa.2005.04.004,,,Expert Systems With Applications,Data mining=0.45968 ; Axiomatic design=0.54147 ; Feature selection=0.51808 ; Computer science=0.46078 ; Expert system=0.52773 ; Fuzzy logic=0.53367 ; Decision support system=0.58027 ; Fuzzy set=0.54047 ; Inference engine=0.53146 ; Complete information=0.48653 ; ,2005,B,ML,mo
1358,1358,1358,1358,19345.0,Optimal design of fuzzy classification systems using PSO with dynamic parameter adaptation through fuzzy logic,Patricia MelinFrumen Olivas ; Oscar Castillo ; Fevrier Valdez ; Jose Soria ; Mario Valdez ; ,161,10.1016/j.eswa.2012.12.033,,,Expert Systems With Applications,Particle swarm optimization=0.56735 ; Neuro-fuzzy=0.58299 ; Mathematical optimization=0.46172 ; Swarm behaviour=0.49452 ; Fuzzy classification=0.61294 ; Computer science=0.43037 ; Fuzzy set operations=0.5851 ; Fuzzy logic=0.60366 ; Artificial intelligence=0.45413 ; Optimization problem=0.52133 ; Machine learning=0.44785 ; Metaheuristic=0.57052 ; ,2013,B,AI,mo
1359,1359,1359,1359,19368.0,Group decision making process for supplier selection with VIKOR under fuzzy environment,Amir SanayeiS. Farid Mousavi ; A. Yazdankhah ; ,353,10.1016/j.eswa.2009.04.063,,,Expert Systems With Applications,Data mining=0.43374 ; Multiple-criteria decision analysis=0.58804 ; VIKOR method=0.70208 ; Computer science=0.4301 ; Fuzzy logic=0.53049 ; Conflict resolution=0.45696 ; Operations research=0.45393 ; Fuzzy set=0.52968 ; Supply chain=0.52559 ; Fuzzy number=0.56783 ; Management science=0.43511 ; Group decision-making=0.52392 ; ,2010,B,None,mo
1360,1360,1360,1360,19371.0,"Knowledge management-enabled health care management systems: capabilities, infrastructure, and decision-support",Ranjit Bose,184,10.1016/S0957-4174(02)00083-0,,,Expert Systems With Applications,Health care=0.67604 ; HRHIS=0.64929 ; Personal knowledge management=0.64369 ; Computer science=0.40254 ; Decision support system=0.58534 ; Knowledge management=0.47389 ; Organizational space=0.57629 ; Organizational learning=0.59464 ; Clinical decision support system=0.66651 ; Management system=0.57309 ; ,2003,B,None,ml
1361,1361,1361,1361,19378.0,Smooth transition of AUV motion control: From fully-actuated to under-actuated configuration,Xianbo XiangLionel Lapierre ; Bruno Jouvencel ; ,114,10.1016/j.robot.2014.09.024,,,Robotics and Autonomous Systems,Lyapunov function=0.52471 ; Direct method=0.43295 ; Control theory=0.59503 ; Backstepping=0.57248 ; Motion control=0.57878 ; Nonlinear system=0.47084 ; Computer science=0.40403 ; Simulation=0.44989 ; Underactuation=0.56817 ; Computation=0.47676 ; ,2015,B,None,mo
1362,1362,1362,1362,19382.0,A comparative study on thyroid disease diagnosis using neural networks,Feyzullah Temurtas,107,10.1016/j.eswa.2007.10.010,,,Expert Systems With Applications,Hormone=0.50396 ; Computer science=0.33658 ; Learning vector quantization=0.48134 ; Thyroid=0.62332 ; Probabilistic neural network=0.46451 ; Artificial intelligence=0.0 ; Bioinformatics=0.39356 ; Probabilistic logic=0.41331 ; Artificial neural network=0.47362 ; Thyroid hormones=0.0 ; Machine learning=0.37498 ; Thyroid disease=0.68947 ; ,2009,B,ML,ml
1363,1363,1363,1363,19394.0,Physicians' acceptance of pharmacokinetics-based clinical decision support systems,I-Chiu ChangHsin-Ginn Hwang ; Won-Fu Hung ; Yi-Chang Li ; ,127,10.1016/j.eswa.2006.05.001,,,Expert Systems With Applications,Expectancy theory=0.57478 ; Computer science=0.3963 ; Knowledge management=0.44688 ; Social influence=0.47842 ; Clinical decision support system=0.60719 ; Utilization behavior=0.42614 ; ,2007,B,None,ml
1364,1364,1364,1364,19472.0,Authorization and privacy for semantic Web services,L. KagalT. Finin ; M. Paolucci ; Navcen Srinivasan ; K. Sycara ; G. Denker ; ,191,10.1109/MIS.2004.23,,,National Conference on Artificial Intelligence,Web development=0.64207 ; World Wide Web=0.47393 ; Computer science=0.45093 ; Web standards=0.64935 ; Data Web=0.65808 ; Semantic Web=0.65663 ; Web modeling=0.65706 ; Web application security=0.66941 ; Social Semantic Web=0.68181 ; WS-Policy=0.69703 ; ,2004,C,None,ml
1365,1365,1365,1365,19512.0,Developing a hybrid multi-criteria model for selection of outsourcing providers,James J. H. LiouYu-Tai Chuang ; ,117,10.1016/j.eswa.2009.11.048,,,Expert Systems With Applications,Multiple criteria=0.0 ; Multiple-criteria decision analysis=0.60443 ; VIKOR method=0.60352 ; Computer science=0.43233 ; Outsourcing=0.58584 ; Risk analysis (engineering)=0.46252 ; Artificial intelligence=0.0 ; Decision process=0.0 ; Compromise=0.47062 ; Machine learning=0.43488 ; Management science=0.45776 ; ,2010,B,ML,ml
1366,1366,1366,1366,19533.0,Short-term load forecasting using lifting scheme and ARIMA models,Cheng-Ming LeeChia-Nan Ko ; ,104,10.1016/j.eswa.2010.11.033,,,Expert Systems With Applications,Inverse=0.415 ; Data mining=0.44705 ; Lifting scheme=0.63985 ; Computer science=0.42381 ; Load forecasting=0.0 ; Autoregressive integrated moving average=0.60204 ; Data type=0.4446 ; Artificial intelligence=0.0 ; Frequency characteristic=0.0 ; Machine learning=0.44028 ; Wavelet=0.50817 ; Wavelet transform=0.50432 ; ,2011,B,ML,ml
1367,1367,1367,1367,19551.0,New approaches to support vector ordinal regression,Wei ChuS. Sathiya Keerthi ; ,220,10.1145/1102351.1102370,,,International Conference on Machine Learning,Mathematical optimization=0.46248 ; Ordinal number=0.56079 ; Computer science=0.43557 ; Ordinal data=0.64904 ; Support vector machine=0.54405 ; Ordinal regression=0.6691 ; Quadratic function=0.50769 ; Sequential minimal optimization=0.5731 ; Ordinal optimization=0.63063 ; Optimization problem=0.52775 ; ,2005,A,None,mo
1368,1368,1368,1368,19571.0,Learning diverse rankings with multi-armed bandits,Filip RadlinskiRobert Kleinberg ; Thorsten Joachims ; ,305,10.1145/1390156.1390255,,,International Conference on Machine Learning,Online learning=0.0 ; Learning to rank=0.66003 ; Ranking=0.61247 ; Pattern recognition=0.44234 ; Ranking SVM=0.72038 ; Computer science=0.45289 ; Ranking (information retrieval)=0.66199 ; Artificial intelligence=0.0 ; User studies=0.0 ; Machine learning=0.46836 ; ,2008,A,ML,ml
1369,1369,1369,1369,19576.0,A fuzzy-based decision-making procedure for data warehouse system selection,Hua-Yang LinPing-Yu Hsu ; Gwo-Ji Sheen ; ,133,10.1016/j.eswa.2006.01.031,,,Expert Systems With Applications,Data warehouse=0.59858 ; Data mining=0.45824 ; Business goals=0.0 ; Computer science=0.44994 ; Fuzzy set operations=0.6173 ; Fuzzy logic=0.56782 ; Dimensional modeling=0.59774 ; Fuzzy set=0.56328 ; Software selection=0.0 ; Fuzzy number=0.63364 ; ,2007,B,None,mo
1370,1370,1370,1370,19581.0,Multi-objective optimization of two stage thermoelectric cooler using a modified teaching-learning-based optimization algorithm,R. Venkata RaoVivek Patel ; ,143,10.1016/j.engappai.2012.02.016,,,Engineering Applications of Artificial Intelligence,Particle swarm optimization=0.53181 ; Mathematical optimization=0.43375 ; Thermoelectric generator=0.47448 ; Heuristic (computer science)=0.50981 ; Computer science=0.39017 ; Multi-objective optimization=0.57195 ; Genetic algorithm=0.53071 ; Cooling capacity=0.41861 ; Thermoelectric cooling=0.52493 ; Maximization=0.44664 ; ,2013,B,None,mo
1371,1371,1371,1371,19582.0,FIOWHM operator and its application to multiple attribute group decision making,Gui-Wu Wei,105,10.1016/j.eswa.2010.08.087,,,Expert Systems With Applications,Weighted product model=0.63246 ; Mathematical optimization=0.46115 ; Linear partial information=0.61782 ; Computer science=0.44063 ; Fuzzy set operations=0.63091 ; Fuzzy logic=0.58779 ; Weighted sum model=0.64224 ; Operator (computer programming)=0.53952 ; Artificial intelligence=0.0 ; Fuzzy number=0.64333 ; Machine learning=0.44511 ; Group decision-making=0.5258 ; ,2011,B,ML,ml
1372,1372,1372,1372,19597.0,Mixtures of Factor Analyzers,Geoffrey J. McLachlanDavid Peel ; ,122,10.1002/0471721182.ch8,,,International Conference on Machine Learning,Pattern recognition=0.43335 ; Computer science=0.42214 ; Artificial intelligence=0.0 ; Machine learning=0.43409 ; Principal component analysis=0.45345 ; ,2000,A,ML,ml
1373,1373,1373,1373,19600.0,A Delphi-based approach to developing expert systems with the cooperation of multiple experts,Hui-Chun ChuGwo-Jen Hwang ; ,121,10.1016/j.eswa.2007.05.034,,,Expert Systems With Applications,Data mining=0.43462 ; Knowledge integration=0.56943 ; Domain knowledge=0.63234 ; Subject-matter expert=0.64788 ; Computer science=0.44453 ; Expert system=0.59077 ; Knowledge management=0.45977 ; Delphi method=0.55425 ; Knowledge engineering=0.60566 ; Knowledge acquisition=0.67161 ; Legal expert system=0.62234 ; ,2008,B,None,ml
1374,1374,1374,1374,19607.0,A new evaluation model for intellectual capital based on computing with linguistic variable,Wei-Shen TaiChen-Tung Chen ; ,136,10.1016/j.eswa.2008.02.017,,,Expert Systems With Applications,Information loss=0.0 ; Multiple criteria=0.0 ; Multiple-criteria decision analysis=0.50946 ; Computer science=0.44435 ; Competitive advantage=0.5426 ; Fuzzy logic=0.46755 ; Knowledge management=0.4732 ; Intellectual capital=0.75316 ; Linguistics=0.40038 ; ,2009,B,None,ml
1375,1375,1375,1375,19610.0,Evaluation of recommender systems: A new approach,Félix Hernández del OlmoElena Gaudioso ; ,139,10.1016/j.eswa.2007.07.047,,,Expert Systems With Applications,Recommender system=0.62495 ; Data mining=0.45166 ; Computer science=0.45837 ; ,2008,B,None,ml
1376,1376,1376,1376,19616.0,An ACO-based algorithm for parameter optimization of support vector machines,XiaoLi ZhangXueFeng Chen ; ZhengJia He ; ,113,10.1016/j.eswa.2010.03.067,,,Expert Systems With Applications,Ant colony optimization algorithms=0.6444 ; Mathematical optimization=0.46081 ; Computer science=0.4421 ; Support vector machine=0.56492 ; Meta-optimization=0.66623 ; Algorithm=0.45752 ; Artificial intelligence=0.46084 ; Sequential minimal optimization=0.64667 ; Machine learning=0.46012 ; ,2010,B,AI,mo
1377,1377,1377,1377,19658.0,Cost-sensitive boosting neural networks for software defect prediction,Jun Zheng,109,10.1016/j.eswa.2009.12.056,,,Expert Systems With Applications,Data mining=0.47169 ; Normalization (statistics)=0.4353 ; AdaBoost=0.51833 ; Computer science=0.45888 ; Software bug=0.52793 ; Software=0.55704 ; Artificial intelligence=0.0 ; Boosting (machine learning)=0.52714 ; Software metric=0.60327 ; Artificial neural network=0.49871 ; Machine learning=0.47532 ; Software sizing=0.603 ; ,2010,B,ML,ml
1378,1378,1378,1378,19698.0,Characteristics of sparsely encoded associative memory,Shun-ichi Amari,178,10.1016/0893-6080(89)90043-9,,,Neural Networks,Transfer-appropriate processing=0.58547 ; Binary logarithm=0.43411 ; Content-addressable memory=0.6651 ; Bidirectional associative memory=0.68371 ; Artificial intelligence=0.0 ; Machine learning=0.40231 ; Mathematics=0.37532 ; Encoding (memory)=0.57045 ; Autocorrelation=0.44224 ; ,1989,C,ML,ml
1379,1379,1379,1379,19702.0,Control schemes for teleoperation with time delay: A comparative study,Paolo ArcaraClaudio Melchiorri ; ,341,10.1016/S0921-8890(01)00164-6,,,Robotics and Autonomous Systems,Teleoperation=0.57738 ; Passivity=0.45332 ; Transparency (graphic)=0.45627 ; Computer science=0.4474 ; Simulation=0.45102 ; Communication channel=0.49322 ; Artificial intelligence=0.0 ; Adaptive control=0.57582 ; Robotics=0.50648 ; ,2002,B,None,ml
1380,1380,1380,1380,19717.0,An immunity-based ant colony optimization algorithm for solving weapon–target assignment problem,Zne-Jung LeeChou-Yuan Lee ; Shun-Feng Su ; ,155,10.1016/S1568-4946(02)00027-3,,,Applied Soft Computing,Weapon target assignment problem=0.66929 ; Ant colony optimization algorithms=0.60029 ; Mathematical optimization=0.45363 ; Quadratic assignment problem=0.59862 ; Meta-optimization=0.5713 ; Generalized assignment problem=0.60941 ; Algorithm=0.43893 ; Assignment problem=0.59033 ; Artificial intelligence=0.44283 ; Linear bottleneck assignment problem=0.5732 ; Mathematics=0.36667 ; Metaheuristic=0.59552 ; ,2002,B,AI,mo
1381,1381,1381,1381,19732.0,Use of principal component analysis for automatic classification of epileptic EEG activities in wavelet framework,U. Rajendra AcharyaS. Vinitha Sree ; Ang Peng Chuan Alvin ; Jasjit S. Suri ; ,108,10.1016/j.eswa.2012.02.040,,,Expert Systems With Applications,Data mining=0.43927 ; Computer science=0.39877 ; Artificial intelligence=0.0 ; Classifier (linguistics)=0.47148 ; Wavelet packet decomposition=0.54968 ; Wavelet=0.53 ; Pattern recognition=0.46183 ; Supervised learning=0.50383 ; Cross-validation=0.48569 ; Machine learning=0.43818 ; Principal component analysis=0.47025 ; Mixture model=0.47467 ; Ictal=0.49307 ; ,2012,B,ML,ml
1382,1382,1382,1382,19755.0,ARTMAP-IC and medical diagnosis: instance counting and inconsistent cases,Gail A. CarpenterNatalya Markuzon ; ,155,10.1016/S0893-6080(97)00067-1,,,Neural Networks,Adaptive resonance theory=0.51854 ; Voting=0.456 ; Computer science=0.44899 ; Artificial intelligence=0.46465 ; Systems architecture=0.48841 ; Artificial neural network=0.53274 ; Machine learning=0.45512 ; Medical diagnosis=0.52172 ; Technical report=0.42004 ; ,1998,C,AI,ml
1383,1383,1383,1383,19758.0,"Modified artificial bee colony based computationally efficient multilevel thresholding for satellite image segmentation using Kapur's, Otsu and Tsallis functions",A.K. BhandariA. Kumar ; G.K. Singh ; ,146,10.1016/j.eswa.2014.09.049,,,Expert Systems With Applications,Particle swarm optimization=0.51061 ; Population=0.50695 ; Brute-force search=0.48358 ; Computer science=0.40237 ; Segmentation=0.4818 ; Image segmentation=0.575 ; Tsallis entropy=0.47438 ; Artificial intelligence=0.0 ; Thresholding=0.562 ; Machine learning=0.43047 ; Genetic algorithm=0.49458 ; ,2015,B,AI,mo
1384,1384,1384,1384,19760.0,State of the art of smart homes,Liyanage C. De SilvaChamin Morikawa ; Iskandar M. Petra ; ,161,10.1016/j.engappai.2012.05.002,,,Engineering Applications of Artificial Intelligence,Automatic summarization=0.50182 ; Efficient energy use=0.47478 ; Computer science=0.44606 ; Internet of Things=0.0 ; Home automation=0.49749 ; Multimedia=0.46516 ; ,2012,B,None,ml
1385,1385,1385,1385,19775.0,A bivariate fuzzy time series model to forecast the TAIEX,Tiffany Hui-Kuang YuKun-Huang Huarng ; ,167,10.1016/j.eswa.2007.05.016,,,Expert Systems With Applications,Econometrics=0.44666 ; Time series=0.55473 ; Data mining=0.43769 ; Nonlinear system=0.41424 ; Stock market index=0.50606 ; Computer science=0.41072 ; Futures contract=0.46587 ; Fuzzy logic=0.50491 ; Bivariate analysis=0.57367 ; Artificial neural network=0.50143 ; Univariate=0.55875 ; ,2008,B,None,mo
